Student_Roll_no,Name,Gender,DOB,Father's_Name,Mother's_Name,School_code,English,English_Grade,Mathematics,Mathematics_Grade,Social_Science,Social_Science_Grade,Hindi,Hindi_Grade,Science,Science_Grade
8292,Michelle Berger,Male,23-08-2008,Gregory Sims,Diane Kane,5090,41,C2,57,C1,43,C2,94,A1,99,A1
8293,Kenneth Goodwin,Male,15-11-2008,Michael Green,Jamie Martinez,5090,63,B2,36,D,49,C2,80,B1,45,C2
8294,Emily Reyes,Male,25-06-2008,Ian Liu,Lori White,5090,44,C2,93,A1,97,A1,23,E1,99,A1
8295,Victoria Green,Male,31-05-2008,Chad Oconnell,Mrs. Amanda Sanders,5090,69,B2,21,E1,14,E2,96,A1,69,B2
8296,Crystal Harrison,Female,18-10-2008,Donald Carpenter,Sherri Bailey,5090,14,E2,60,C1,42,C2,56,C1,11,E2
8297,Aaron Hughes,Male,02-10-2009,Matthew Wu,Nicole Harris,5090,36,D,32,D,69,B2,56,C1,23,E1
8298,Zachary Gay,Female,14-10-2009,Richard Blake,Lisa Rhodes,5090,70,B2,57,C1,51,C1,84,A2,24,E1
8299,Luis Steele,Male,13-03-2008,Jacob Romero,Amber Lane,5090,29,E1,97,A1,50,C2,90,A2,14,E2
8300,John Stephens,Female,10-07-2009,Kurt Rice,Kristen Lindsey,5090,16,E2,65,B2,17,E2,86,A2,35,D
8301,Lisa Price,Female,02-12-2009,Ian Jackson,Samantha Murphy,5090,98,A1,49,C2,51,C1,16,E2,47,C2
8302,James Arroyo,Female,03-04-2009,Matthew Mason,Ashlee Becker,5090,91,A1,37,D,33,D,94,A1,13,E2
8303,Stephen Hubbard,Male,09-08-2008,Spencer Freeman,Tracy Santos,5090,55,C1,33,D,38,D,28,E1,86,A2
8304,Jennifer Mccormick,Female,06-04-2009,Jose Cameron,Emily Deleon,5090,15,E2,58,C1,79,B1,54,C1,44,C2
8305,Rebecca Atkins,Male,21-07-2009,David Morales,Lisa Morales,5090,13,E2,60,C1,74,B1,85,A2,70,B2
8306,Robert Villarreal,Female,01-12-2009,Brian Alvarado,Mariah Castro,5090,31,D,45,C2,31,D,76,B1,43,C2
8307,Spencer Brooks,Female,07-04-2008,George Lynn MD,Katherine Hall,5090,97,A1,22,E1,78,B1,16,E2,22,E1
8308,William Williams,Female,02-07-2009,James Villanueva,Tracy Burns,5090,23,E1,36,D,29,E1,17,E2,63,B2
8309,Jared Kirk,Female,17-12-2008,Keith Ray,Sarah Gutierrez,5090,83,A2,31,D,18,E2,13,E2,65,B2
8310,David Moore,Male,23-11-2009,Kyle Kane,Sierra Booth,5090,29,E1,26,E1,78,B1,13,E2,79,B1
8311,Danny Rodriguez,Male,15-09-2009,Bruce Mclaughlin,Elizabeth Green,5090,20,E2,74,B1,75,B1,37,D,14,E2
8312,Susan Hamilton,Female,09-07-2008,Steven Guerrero,Laura Franklin,5090,48,C2,78,B1,98,A1,85,A2,47,C2
8313,Caroline Floyd,Male,04-07-2008,Anthony Clark,Samantha Foster,5090,21,E1,19,E2,69,B2,66,B2,32,D
8314,Cynthia Cooper,Female,19-06-2009,Joshua Hicks,Kristen Smith,5090,96,A1,59,C1,91,A1,90,A2,12,E2
8315,Matthew Harris,Male,12-04-2009,Richard Sims,Katie Hamilton,5090,51,C1,72,B1,97,A1,38,D,38,D
8316,John Williams,Female,04-03-2008,Kevin Galvan,Sierra Torres,5090,44,C2,79,B1,37,D,46,C2,59,C1
8317,Angela Thomas,Female,25-04-2009,Daniel Lyons,Joanne Rice,5090,49,C2,88,A2,25,E1,70,B2,96,A1
8318,Jared Williams,Male,01-12-2008,Robert Roberts,Kristi Cordova,5090,58,C1,14,E2,42,C2,12,E2,39,D
8319,Alison Brown,Female,06-09-2008,William Marshall,Megan Bowman,5090,95,A1,38,D,16,E2,40,D,65,B2
8320,Sherri Klein,Female,05-10-2008,Randy Mora,Beth Graham,5090,90,A2,89,A2,93,A1,27,E1,70,B2
8321,Sandra Berry,Male,28-05-2008,Dennis Quinn,Kathleen Stevens,5090,75,B1,41,C2,24,E1,69,B2,81,A2
8322,Ryan Rivas,Male,12-06-2008,Michael Austin,Jennifer Morales,5090,53,C1,52,C1,41,C2,78,B1,93,A1
8323,Curtis Cook,Male,24-06-2008,Edwin Khan,Tammy Clark,5090,14,E2,13,E2,55,C1,69,B2,57,C1
8324,Diana Hanson,Male,16-11-2008,Ryan Collier,Alexandra Rodriguez,5090,21,E1,13,E2,12,E2,61,B2,85,A2
8325,David Hall,Male,31-10-2009,Jonathan Bryant,Lisa Pham,5090,38,D,50,C2,51,C1,73,B1,94,A1
8326,Lisa Sims,Male,29-11-2009,David Harper,Abigail Gates,5090,90,A2,87,A2,78,B1,52,C1,96,A1
8327,Anthony Wilson,Male,11-04-2009,Paul Young,Gabrielle Rodriguez,5090,26,E1,78,B1,40,D,23,E1,22,E1
8328,Jonathan Clark,Female,14-08-2009,Roy Richardson,Amanda Thompson,5090,12,E2,91,A1,40,D,87,A2,83,A2
8329,Curtis Duran,Female,19-07-2008,David Hancock,Deanna Wise,5090,97,A1,38,D,54,C1,88,A2,65,B2
8330,Tina Taylor,Female,18-06-2008,Kyle Bates,Leslie James,5090,66,B2,99,A1,39,D,96,A1,70,B2
8331,Peter Harrison,Male,13-01-2009,Joseph Ware,Michelle Arnold,5090,49,C2,78,B1,79,B1,27,E1,79,B1
8332,Steven Bush,Male,10-06-2008,William Kaufman,Lori Anderson,5090,61,B2,21,E1,34,D,18,E2,51,C1
8333,Philip Franco,Male,12-05-2009,Kevin Black,Brandy Rodriguez,5090,86,A2,51,C1,74,B1,27,E1,84,A2
8334,Brooke Ross,Female,10-01-2009,Austin Jones,Leslie Eaton,5090,62,B2,28,E1,69,B2,60,C1,55,C1
8335,Michele Smith,Male,13-08-2009,David Crawford,Diane Cervantes,5090,27,E1,93,A1,63,B2,18,E2,23,E1
8336,John Smith,Female,06-12-2008,Bryan Mcbride,Ruth Berry,5090,64,B2,70,B2,78,B1,68,B2,12,E2
8337,Brad Jenkins,Female,25-01-2008,Charles Pruitt,Felicia Garrett,5090,17,E2,14,E2,85,A2,76,B1,59,C1
8338,Joseph Brooks,Female,17-05-2009,Charles Watkins,Joann Parsons,5090,40,D,74,B1,63,B2,97,A1,14,E2
8339,Thomas Wilkerson,Male,08-12-2008,Eric Garcia,Cindy Adams,5090,84,A2,88,A2,66,B2,88,A2,69,B2
8340,Justin Crane,Male,13-04-2008,Ricky Roth,Debbie Fischer,5090,20,E2,81,A2,31,D,42,C2,86,A2
8341,Angela Ramirez,Male,29-12-2008,Mark Sanchez,Connie Elliott,5090,18,E2,94,A1,92,A1,78,B1,18,E2
8342,Jennifer Hayes,Male,03-06-2008,Joshua Jimenez,Dana Hayes,5090,10,E2,34,D,77,B1,59,C1,16,E2
8343,Barbara Christensen,Male,28-09-2009,Joseph Gardner,Carrie Frazier,5090,46,C2,14,E2,24,E1,81,A2,28,E1
8344,Dawn Mendoza,Male,28-12-2009,Charles Woodard,Theresa Williams,5090,31,D,62,B2,17,E2,56,C1,13,E2
8345,Laurie Montes,Female,22-07-2009,Brandon Morris,Kelly Bender,5090,54,C1,32,D,15,E2,99,A1,67,B2
8346,David Thomas,Male,13-10-2008,Bryan Marshall,Leslie Thomas,5090,12,E2,20,E2,34,D,82,A2,24,E1
8347,Jennifer Mccall,Male,29-07-2009,Kyle Chavez,Janice Pennington,5090,22,E1,94,A1,22,E1,15,E2,34,D
8348,Hannah Leonard,Male,14-01-2008,Javier Khan,Jennifer Cochran,5090,56,C1,98,A1,93,A1,35,D,31,D
8349,Allison Hill,Female,21-10-2008,Louis Sanchez,Jamie Love,5090,41,C2,52,C1,31,D,60,C1,54,C1
8350,Mark Martin,Female,30-07-2009,Jeffrey Taylor,Christine Barnes,5090,22,E1,65,B2,56,C1,21,E1,20,E2
8351,Sonya Murphy,Male,04-12-2008,Phillip Bridges,Rebecca Dickson,5090,95,A1,72,B1,95,A1,83,A2,75,B1
8352,Karen Moody,Female,27-11-2009,Alexander Burton,Danielle Galvan,5090,30,E1,28,E1,20,E2,91,A1,43,C2
8353,Molly Turner,Male,13-04-2009,Patrick Ryan,Ashley Cox,5090,12,E2,56,C1,41,C2,78,B1,28,E1
8354,Nathaniel Erickson,Male,20-07-2009,Michael Harris,Crystal Vang,5090,33,D,42,C2,27,E1,68,B2,74,B1
8355,Erika James,Female,29-07-2009,Michael Cunningham,Taylor Fisher,5090,77,B1,54,C1,54,C1,81,A2,77,B1
8356,Kimberly Ward DDS,Female,30-03-2009,Miguel Thomas,Robin Mata,5090,48,C2,69,B2,65,B2,71,B1,46,C2
8357,James Holden,Female,01-12-2008,Zachary Jordan,Donna Brown,5090,97,A1,38,D,41,C2,67,B2,38,D
8358,Dale Rhodes,Female,28-02-2009,Mark Boyd,Melissa Smith,5090,35,D,25,E1,98,A1,87,A2,30,E1
8359,Nancy Andersen,Female,29-08-2009,Juan Combs,Allison Floyd,5090,98,A1,84,A2,34,D,39,D,69,B2
8360,Jeremy Love,Male,21-11-2008,Victor Randolph,Jamie Perez,5090,85,A2,65,B2,22,E1,20,E2,36,D
8361,Cassandra Jefferson,Female,01-05-2008,Caleb Soto,Cassandra Horne,5090,37,D,96,A1,22,E1,36,D,85,A2
8362,Dawn Brown,Female,20-08-2008,Steven Burnett,Rachel Adams,5090,19,E2,51,C1,53,C1,36,D,28,E1
8363,Breanna Murphy,Male,01-06-2009,Thomas Peterson,Courtney Gallagher,5090,94,A1,77,B1,46,C2,46,C2,37,D
8364,Katie Gallegos PhD,Male,27-05-2008,Grant Marshall,Sarah Moreno,5090,46,C2,41,C2,88,A2,43,C2,13,E2
8365,Eric Mathis,Female,03-03-2009,Christopher Mcdonald,Denise Moore,5090,28,E1,61,B2,89,A2,39,D,48,C2
8366,Deborah Simmons,Female,15-11-2009,Philip Burgess,Alexandra Blake,5090,21,E1,52,C1,92,A1,94,A1,64,B2
8367,David Mclaughlin,Female,08-11-2009,Ian Brown,Debra Wilson,5090,79,B1,72,B1,73,B1,70,B2,25,E1
8368,Margaret Lloyd,Female,21-10-2008,Anthony Sandoval,Rhonda Houston,5090,31,D,96,A1,77,B1,69,B2,86,A2
8369,Aaron Pena,Male,18-01-2008,Robert Miller,Sydney White,5090,14,E2,77,B1,56,C1,71,B1,46,C2
8370,Lauren Mitchell,Female,25-05-2008,Joseph Hill,Belinda Patel,5090,47,C2,28,E1,83,A2,83,A2,65,B2
8371,Jeffrey Meza,Male,02-12-2008,Dustin Pham,Samantha Gutierrez,5090,50,C2,90,A2,50,C2,60,C1,79,B1
8372,Robert Mitchell,Female,17-03-2009,Daniel Strong,Sarah Macdonald,5090,27,E1,94,A1,65,B2,24,E1,88,A2
8373,Kevin Mcbride,Female,19-02-2009,Justin Savage,Tammy Brown,5090,91,A1,73,B1,23,E1,80,B1,93,A1
8374,Maurice Davis,Female,24-06-2008,Jesus Carlson,Laura Owens,5090,68,B2,85,A2,19,E2,76,B1,34,D
8375,Katelyn Carroll,Male,24-12-2009,Jonathan Hill,Sarah Jacobs,5090,35,D,78,B1,28,E1,69,B2,35,D
8376,Robert Lawson,Male,19-05-2008,Benjamin Schneider,Julia Conley,5090,79,B1,37,D,15,E2,31,D,72,B1
8377,David Tapia,Female,12-08-2008,Brandon Wise,Susan Rodgers,5090,86,A2,91,A1,69,B2,51,C1,34,D
8378,Danielle Bailey,Male,20-05-2009,Peter Myers,Angela Mercado,5090,95,A1,17,E2,54,C1,50,C2,29,E1
8379,Daniel Roman,Male,29-12-2008,Ronald Peters,Kelsey Smith,5090,62,B2,32,D,72,B1,72,B1,48,C2
8380,Brian Heath,Female,20-01-2008,Edward Matthews,Carrie Pruitt,5090,45,C2,27,E1,41,C2,58,C1,60,C1
8381,Michael Sanchez,Female,06-10-2008,Andrew Kelly,Melissa Young,5090,86,A2,26,E1,48,C2,35,D,82,A2
8382,Eric Roth,Female,15-03-2009,Peter Ellis,Nicole Hensley,5090,21,E1,96,A1,23,E1,85,A2,43,C2
8383,Sarah Cortez,Male,18-11-2009,Jason Washington,Melissa Donaldson,5090,37,D,24,E1,39,D,93,A1,34,D
8384,Whitney Phillips,Female,21-03-2009,Patrick Mitchell,Donna Cisneros,5090,47,C2,66,B2,70,B2,68,B2,75,B1
8385,Jonathan Banks,Male,29-10-2008,Peter Hart,Ashley Shaw,5090,90,A2,75,B1,77,B1,55,C1,13,E2
8386,Monica Patel,Male,22-09-2009,Paul Jackson,Michelle Martin,5090,85,A2,95,A1,14,E2,26,E1,93,A1
8387,Cassandra Davis,Male,10-09-2008,John Robinson,Lauren Johnson,5090,85,A2,17,E2,35,D,84,A2,12,E2
8388,Jared Crawford,Female,23-01-2009,Brandon Cox,Alexandra Lee,5090,64,B2,27,E1,24,E1,90,A2,92,A1
8389,Brenda Hunt,Female,26-06-2009,Mark Fitzgerald,Courtney Olson,5090,78,B1,24,E1,40,D,75,B1,30,E1
8390,Alex Becker,Male,12-09-2009,Donald Thomas,Susan Black,5090,13,E2,18,E2,83,A2,53,C1,74,B1
8391,Anthony Salas,Male,22-01-2009,Brandon Mann,Alyssa Miller,5090,43,C2,23,E1,40,D,13,E2,92,A1
8392,Erica Fields,Female,04-01-2009,Eric Arnold,Shelby Reyes,5090,63,B2,79,B1,30,E1,63,B2,90,A2
8393,Amy Nelson,Male,13-08-2008,Lawrence Hawkins,Margaret Crawford,5090,76,B1,44,C2,50,C2,60,C1,86,A2
8394,Alex Suarez,Male,29-04-2009,Jack Morrison,Denise Morgan,5090,59,C1,63,B2,70,B2,79,B1,21,E1
8395,Jason Ferrell,Male,13-09-2008,Michael Gibson,Brianna Gross,5090,42,C2,72,B1,10,E2,79,B1,62,B2
8396,Mark Hayes,Male,24-07-2008,Oscar Rogers,Meredith Boone,5090,38,D,48,C2,25,E1,80,B1,38,D
8397,Megan Ford,Female,26-11-2008,Christopher Kirby,Gwendolyn Barron,5090,57,C1,10,E2,26,E1,84,A2,27,E1
8398,Ashley Hart,Male,02-10-2008,Mr. Luke Ayers,Beth West,5090,56,C1,69,B2,16,E2,25,E1,91,A1
8399,Christina Jenkins,Male,14-01-2009,Matthew Owens,Lisa Hill,5090,58,C1,12,E2,70,B2,42,C2,99,A1
8400,Logan Medina,Female,23-12-2009,Michael Wilson,Toni Smith,5090,48,C2,72,B1,84,A2,22,E1,93,A1
8401,Jessica Smith,Male,16-11-2009,Matthew Allen,Amanda Hernandez,5090,12,E2,31,D,29,E1,89,A2,24,E1
8402,Shannon Rivera,Male,24-03-2009,Robert Long,Rhonda Hernandez,5090,19,E2,72,B1,60,C1,23,E1,21,E1
8403,Amanda Trujillo MD,Male,15-04-2009,James Smith,Mary Miller,5090,21,E1,57,C1,90,A2,43,C2,65,B2
8404,Stephanie Murphy,Female,14-06-2009,Luis Mcmillan,Cheryl Torres,5090,30,E1,72,B1,66,B2,91,A1,36,D
8405,Tara Wilson,Male,04-03-2008,Barry Pearson,Michelle Hines,5090,14,E2,78,B1,96,A1,59,C1,39,D
8406,Ashley Salinas,Female,26-10-2008,Daniel Figueroa,Brittany Scott,5090,91,A1,14,E2,46,C2,86,A2,91,A1
8407,Sheila Mcintyre,Male,14-05-2009,Gregory Odonnell,Amy Hernandez,5090,43,C2,24,E1,64,B2,76,B1,98,A1
8408,Mark Lee,Female,24-03-2009,Manuel Rose,Tammy Williams,5090,37,D,50,C2,53,C1,88,A2,98,A1
8409,Carlos Williams,Male,18-04-2009,Juan Decker,Beth Dixon,5090,20,E2,89,A2,37,D,10,E2,35,D
8410,Maria Gomez,Female,21-08-2008,Timothy Cooper,Becky Noble,5090,50,C2,19,E2,66,B2,12,E2,92,A1
8411,Joseph Monroe,Female,30-10-2009,Mr. Albert Galvan,Marissa Hunt,5090,88,A2,55,C1,59,C1,78,B1,78,B1
8412,James Thompson,Female,27-03-2008,Carlos Valenzuela,Ms. Nichole Woods PhD,5090,67,B2,91,A1,73,B1,80,B1,95,A1
8413,Amy Hamilton,Female,11-02-2008,Paul Glover,Hannah Werner,5090,73,B1,22,E1,25,E1,73,B1,64,B2
8414,Troy Morgan,Female,12-11-2008,Robert Byrd,Kimberly Harper,5090,39,D,75,B1,30,E1,87,A2,11,E2
8415,Robert Hobbs,Female,10-04-2009,Christian Snyder,Mrs. Laura Watkins,5090,88,A2,81,A2,97,A1,54,C1,14,E2
8416,Katelyn Bates,Male,13-09-2009,Mark Garrett,Pamela Ortega,5090,50,C2,66,B2,23,E1,17,E2,60,C1
8417,Michael Brown,Female,27-04-2008,Richard Cook,Emily Johnson,5090,61,B2,91,A1,29,E1,30,E1,88,A2
8418,Matthew Sloan,Male,25-12-2009,Ryan Delgado,Denise Smith,5090,79,B1,33,D,72,B1,60,C1,13,E2
8419,Diane Wallace,Female,30-03-2008,Jordan Bennett,Jasmine Rogers,5090,11,E2,64,B2,94,A1,79,B1,10,E2
8420,Daniel King,Male,02-03-2009,David Jefferson,Diane Phillips,5090,21,E1,30,E1,52,C1,55,C1,54,C1
8421,Christopher Peterson,Female,04-10-2008,Dr. Steven Benjamin,Bethany Lopez,5090,81,A2,57,C1,33,D,48,C2,59,C1
8422,Emma Sullivan,Female,03-08-2009,Cesar Lee,Cathy Madden,5090,42,C2,42,C2,58,C1,31,D,57,C1
8423,Tara Garcia,Female,10-03-2008,Mark Brown,Melissa Perry,5090,87,A2,27,E1,60,C1,15,E2,97,A1
8424,Ashley Castro,Female,17-02-2009,Chris Bean,Jamie Mueller,5090,35,D,82,A2,98,A1,86,A2,39,D
8425,Stephanie Morris,Male,13-12-2008,Joshua Guerra,Rebecca Thomas,5090,19,E2,69,B2,54,C1,88,A2,82,A2
8426,Megan Compton,Female,06-03-2008,Christopher Baker MD,Mckenzie Smith,5090,73,B1,37,D,43,C2,28,E1,88,A2
8427,Theresa Scott,Male,15-11-2009,John Diaz,Brianna Kaufman,5090,75,B1,59,C1,88,A2,20,E2,56,C1
8428,Becky Griffith,Female,21-03-2009,Jeffrey Riddle,Jennifer Edwards,5090,84,A2,99,A1,36,D,64,B2,18,E2
8429,Kenneth Jacobs,Male,18-04-2009,Stephen Simpson,Dawn Pollard,5090,20,E2,76,B1,53,C1,44,C2,91,A1
8430,James Noble,Female,16-04-2008,Darryl Howard,Deborah Owen,5090,71,B1,84,A2,58,C1,63,B2,60,C1
8431,Kristin Charles,Male,06-06-2008,Mr. Frank Case,Catherine Smith,5090,11,E2,14,E2,80,B1,93,A1,47,C2
8432,Roger Tate,Female,27-09-2008,Jacob Powell,Denise Gibson,5090,52,C1,77,B1,12,E2,24,E1,89,A2
8433,Juan Mathis,Male,01-10-2009,Darren Washington,Elizabeth White,5090,33,D,34,D,86,A2,57,C1,14,E2
8434,Haley Pena,Male,09-07-2008,Brett Lee,Jenna Woods,5090,46,C2,55,C1,11,E2,14,E2,41,C2
8435,Robin Fischer,Female,05-08-2009,Thomas Watson,Rhonda Contreras,5090,89,A2,69,B2,32,D,18,E2,10,E2
8436,Michael Morgan,Male,29-06-2009,Matthew Davis,Jessica Price,5090,21,E1,80,B1,85,A2,50,C2,24,E1
8437,Phillip Williams,Female,29-05-2009,Joseph Martin,Robin Mack,5090,74,B1,54,C1,12,E2,51,C1,67,B2
8438,Julie Parker,Male,19-06-2009,Kristopher Collins,Theresa Butler,5090,90,A2,32,D,67,B2,68,B2,38,D
8439,Emily Munoz,Male,01-10-2009,Kerry Ross,Lindsay Obrien,5090,14,E2,65,B2,26,E1,54,C1,90,A2
8440,Sandra Whitehead,Female,10-03-2009,Nicholas Warren,Melissa Mcdonald,5090,96,A1,58,C1,60,C1,28,E1,73,B1
8441,Brandon James,Female,17-08-2009,Robert Mitchell,Lisa Ortega,5090,65,B2,56,C1,98,A1,94,A1,41,C2
8442,Robert Wallace,Male,04-11-2008,Brad Lopez,Ashley Drake,5090,80,B1,50,C2,23,E1,31,D,28,E1
8443,Jennifer Carter,Female,27-06-2008,Jesse Anderson MD,Kelli Hernandez,5090,67,B2,65,B2,89,A2,17,E2,39,D
8444,Jenna Cole,Female,25-11-2009,Justin Silva,Vanessa Mitchell,5090,34,D,31,D,46,C2,64,B2,99,A1
8445,Anthony Armstrong,Male,25-11-2009,Eric Rivas,Dana Turner,5090,53,C1,12,E2,33,D,43,C2,95,A1
8446,Aaron Sawyer,Female,21-12-2008,James Davidson,Julie Cohen,5090,85,A2,20,E2,47,C2,91,A1,19,E2
8447,Shari West,Female,02-03-2008,Keith Sanchez,Abigail Gutierrez,5090,77,B1,15,E2,93,A1,80,B1,84,A2
8448,Keith Mckinney,Male,04-08-2009,Jonathan Foster,Stephanie Jones,5090,58,C1,94,A1,84,A2,91,A1,53,C1
8449,Tara Cook,Male,23-12-2009,Richard Robinson,Kristina Bush,5090,38,D,45,C2,25,E1,17,E2,94,A1
8450,Don Johnson,Male,27-06-2009,Melvin Rodriguez,Catherine Hayes,5090,44,C2,84,A2,77,B1,26,E1,79,B1
8451,Amber Lewis,Male,11-01-2009,Louis Petty,Karla Cummings,5090,44,C2,72,B1,77,B1,64,B2,89,A2
8452,Lisa Russell,Male,18-07-2009,Matthew Bartlett,Melanie Farrell,5090,65,B2,22,E1,66,B2,66,B2,69,B2
8453,Ana Thomas,Male,25-03-2008,Javier Frey,Amanda Lang,5090,58,C1,56,C1,82,A2,82,A2,67,B2
8454,Leslie Roberts,Female,22-06-2009,Mr. Kevin May II,Stephanie Fitzgerald DVM,5090,34,D,32,D,61,B2,34,D,53,C1
8455,Amanda Oconnor,Female,28-04-2008,Peter Cooper,Diana Hill,5090,77,B1,98,A1,51,C1,71,B1,93,A1
8456,Janet Ashley,Male,30-09-2009,Kevin Rogers,Sarah Newman,5090,88,A2,71,B1,67,B2,14,E2,29,E1
8457,Clifford Hensley,Male,18-10-2009,Christopher Long,Amanda Hernandez,5090,67,B2,87,A2,21,E1,20,E2,44,C2
8458,Jerry Mitchell,Female,04-08-2009,Phillip Morgan,Crystal Brooks,5090,35,D,30,E1,81,A2,80,B1,26,E1
8459,Allison Gregory,Male,29-12-2008,Kevin Sharp,Sheri Chaney,5090,14,E2,44,C2,23,E1,54,C1,17,E2
8460,Pamela Fox,Male,19-02-2008,Charles Reyes,Margaret Collins,5090,50,C2,25,E1,34,D,45,C2,88,A2
8461,Michael Miller,Female,13-12-2009,Gary Holland,Deborah Pittman,5090,33,D,18,E2,63,B2,15,E2,96,A1
8462,Christine Cox,Male,10-10-2008,Robert Padilla,Christine Lawson,5090,68,B2,70,B2,55,C1,57,C1,53,C1
8463,Christopher Brooks,Male,24-12-2008,David Mcbride,Mrs. Stacy Johnson,5090,46,C2,85,A2,72,B1,97,A1,68,B2
8464,Michael Sanchez,Male,10-11-2008,Gary Garcia,Dawn Henderson,5090,59,C1,33,D,90,A2,20,E2,67,B2
8465,Lisa Rogers,Male,06-10-2009,Brandon Miller,Kathryn Howard,5090,43,C2,51,C1,64,B2,63,B2,61,B2
8466,Brian Williams,Male,05-06-2009,Gregory Davis,Barbara Whitaker,5090,92,A1,80,B1,95,A1,16,E2,85,A2
8467,Jesse Sanchez,Male,28-07-2008,Eric Ponce,Denise Hill,5090,79,B1,68,B2,10,E2,45,C2,37,D
8468,Antonio Jenkins,Female,07-02-2009,Jorge Randall,Catherine Morgan,5090,11,E2,40,D,45,C2,53,C1,71,B1
8469,James Torres,Male,05-05-2008,Joseph King,Kayla Howell,5090,71,B1,94,A1,89,A2,12,E2,92,A1
8470,Jonathan Reyes,Male,02-01-2009,Manuel Knight,Elaine Johnson,5090,64,B2,10,E2,92,A1,94,A1,35,D
8471,Terry Graves,Male,09-02-2008,Richard Brown,Kaylee Ford,5090,30,E1,16,E2,18,E2,48,C2,59,C1
8472,Heather Stokes,Female,29-06-2009,Marco Martinez,Tina Jackson,5090,95,A1,31,D,33,D,59,C1,63,B2
8473,Kara Keller,Male,07-11-2009,Ruben Curry,Kaylee Harrison,5090,45,C2,73,B1,47,C2,43,C2,99,A1
8474,Lisa Wagner,Female,26-10-2009,Anthony Hawkins,Amanda Woods,5090,49,C2,15,E2,77,B1,41,C2,81,A2
8475,Michael Allen,Male,19-09-2009,Michael Frost,Anna Powell DDS,5090,17,E2,23,E1,98,A1,46,C2,59,C1
8476,Aaron Sutton,Male,13-03-2009,Frank Sanchez,Stephanie Andrews,5090,39,D,63,B2,73,B1,75,B1,27,E1
8477,David Arias,Male,05-08-2009,Jackson Brown,Amy Parker,5090,66,B2,36,D,20,E2,50,C2,11,E2
8478,Michael Charles,Female,28-01-2009,Joseph Sanchez,Jennifer Jackson,5090,51,C1,11,E2,99,A1,85,A2,45,C2
8479,Thomas Johnson,Female,11-01-2008,Justin Dorsey,Erin Jones,5090,36,D,10,E2,18,E2,49,C2,43,C2
8480,Stanley Kelley,Male,01-08-2008,David Reyes,Rhonda Welch,5090,45,C2,49,C2,78,B1,10,E2,56,C1
8481,Brian Williams,Male,29-06-2009,David Young,Kelly Bell,5090,25,E1,77,B1,30,E1,41,C2,45,C2
8482,Sean Brooks,Female,28-09-2009,Aaron George,Lisa Davis,5090,68,B2,18,E2,31,D,62,B2,25,E1
8483,William Roman,Male,16-06-2008,Samuel Dennis,Misty Simpson,5090,56,C1,20,E2,65,B2,42,C2,20,E2
8484,Mrs. Jessica Lucas,Female,17-04-2008,Dean Harris,Kristy Whitaker,5090,27,E1,94,A1,80,B1,11,E2,92,A1
8485,Dennis Roman,Male,27-12-2009,Thomas Hall,Cheryl Lopez,5090,74,B1,22,E1,25,E1,70,B2,61,B2
8486,Cynthia Cardenas,Male,03-04-2008,Mr. Justin Brooks,Desiree Giles,5090,60,C1,54,C1,71,B1,45,C2,77,B1
8487,Cody Lara,Female,04-12-2009,Kenneth Morris,Amanda Munoz,5090,91,A1,93,A1,54,C1,14,E2,46,C2
8488,Jesse Martin,Female,01-11-2009,Juan Sims,Kimberly Daniel,5090,17,E2,94,A1,12,E2,25,E1,93,A1
8489,Megan Vargas,Male,21-09-2009,Miguel Kelly,Tara Moran,5090,71,B1,50,C2,98,A1,14,E2,82,A2
8490,Jared Henderson,Female,17-04-2009,Steven Holt,Megan Davis,5090,66,B2,28,E1,45,C2,21,E1,24,E1
8491,Melissa Johnson,Male,14-02-2009,Connor Whitaker,Jennifer Simpson,5090,24,E1,89,A2,14,E2,39,D,71,B1
8492,Heather Cruz,Female,19-10-2008,Frank Farrell,Frances Jones,5090,80,B1,18,E2,80,B1,72,B1,67,B2
8493,Sarah Wise,Male,03-02-2009,Thomas Oconnor,Mary Spence,5090,80,B1,77,B1,46,C2,25,E1,24,E1
8494,Melanie Martinez,Female,16-08-2008,Michael Perez,Laurie Patterson,5090,17,E2,49,C2,63,B2,27,E1,63,B2
8495,Bethany Moore,Female,31-01-2009,Daniel Bennett,Kimberly Young DDS,5090,61,B2,24,E1,56,C1,60,C1,28,E1
8496,Jody Hall,Male,01-08-2008,James Miller,Pamela Horne,5090,26,E1,87,A2,45,C2,94,A1,54,C1
8497,Alyssa Hoffman,Male,26-06-2009,Mr. Eric Finley,Meredith Serrano DVM,5090,10,E2,57,C1,10,E2,24,E1,66,B2
8498,Brittany Scott,Male,22-08-2008,Raymond Cross,Alicia Smith,5090,43,C2,55,C1,59,C1,31,D,56,C1
8499,Mrs. Tiffany Smith,Male,08-07-2008,Jason Wade,April Phillips,5090,53,C1,60,C1,55,C1,75,B1,87,A2
8500,Douglas Alexander,Male,29-09-2009,David Roberts,Kathy Schmidt,5090,11,E2,14,E2,55,C1,62,B2,94,A1
8501,Lori Morgan,Male,10-03-2009,James Baker,Danielle Gaines,5090,11,E2,53,C1,15,E2,26,E1,92,A1
8502,Sarah Jones,Male,03-02-2008,Calvin James,Crystal Taylor,5090,46,C2,43,C2,71,B1,67,B2,38,D
